id,text,service_type,budget(PKR),tone,features
C001,Our company needs a web system that improves user experience and integrates content management system.,Web,796591,urgent,"SEO optimization, content management system, responsive design"
C002,"Our goal is to create a complete design platform with social media graphics and social media graphics. We expect smooth performance, regular updates, and a timeline-based delivery approach. It should be optimized for all major devices and browsers.",Design,518489,casual,"color palette, landing page design, UI/UX wireframes"
C003,Looking for someone to build a web solution that includes responsive design and easy maintenance.,Web,339374,urgent,"user authentication, product catalog, payment gateway"
C004,"Our goal is to create a complete web platform with payment gateway and SEO optimization. We expect smooth performance, regular updates, and a timeline-based delivery approach. It should be optimized for all major devices and browsers.",Web,463640,professional,"admin panel, content management system, product catalog"
C005,"Our goal is to create a complete app platform with user login and in-app purchases. We expect smooth performance, regular updates, and a timeline-based delivery approach. It should be optimized for all major devices and browsers.",App,265776,casual,"chat support, user login, GPS tracking"
C006,"We’re planning to launch a design solution that includes UI/UX wireframes, social media graphics, and social media graphics. It should be modern, scalable, and user-friendly. The project should follow a clean UI with detailed documentation.",Design,705751,urgent,"UI/UX wireframes, illustrations, brand identity"
C007,"Our goal is to create a complete ai platform with image recognition and automated reports. We expect smooth performance, regular updates, and a timeline-based delivery approach. It should be optimized for all major devices and browsers.",AI,83818,casual,"sentiment analysis, image recognition, predictive analytics"
C008,Our company needs a app system that improves user experience and integrates chat support.,App,499652,casual,"push notifications, in-app purchases, user login"
C009,Our company needs a web system that improves user experience and integrates responsive design.,Web,674163,professional,"payment gateway, content management system, SEO optimization"
C010,Looking for someone to build a ai solution that includes speech-to-text and easy maintenance.,AI,82990,professional,"automated reports, sentiment analysis, chatbot"
C011,"We’re planning to launch a design solution that includes logo design, logo design, and color palette. It should be modern, scalable, and user-friendly. The project should follow a clean UI with detailed documentation.",Design,417571,urgent,"logo design, brand identity, landing page design"
C012,"Our goal is to create a complete design platform with color palette and logo design. We expect smooth performance, regular updates, and a timeline-based delivery approach. It should be optimized for all major devices and browsers.",Design,513629,professional,"color palette, logo design, illustrations"
C013,Our company needs a web system that improves user experience and integrates responsive design.,Web,760382,urgent,"SEO optimization, admin panel, user authentication"
C014,"We require a app system capable of handling chat support, user login, and chat support. The final product should be professional, secure, and align with our brand tone.",App,487001,urgent,"push notifications, in-app purchases, dark mode"
C015,Our company needs a web system that improves user experience and integrates payment gateway.,Web,640204,urgent,"SEO optimization, responsive design, product catalog"
C016,"Our goal is to create a complete design platform with logo design and logo design. We expect smooth performance, regular updates, and a timeline-based delivery approach. It should be optimized for all major devices and browsers.",Design,248086,urgent,"logo design, brand identity, color palette"
C017,"We’re planning to launch a design solution that includes landing page design, landing page design, and brand identity. It should be modern, scalable, and user-friendly. The project should follow a clean UI with detailed documentation.",Design,576973,professional,"brand identity, landing page design, logo design"
